track_name,track_add_date,track_add_time,multiple_artists_bool,name_of_artists,album_name,album_release_date,album_release_date_precision,number_of_tracks_in_album,position_in_playlist,track_duration_ms,track_popularity,track_explicit,images_path,data_collection_date
Until I Found You (with Em Beihold) - Em Beihold Version,4/1/23,10:17:21,TRUE,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),4/22/22,day,1,32,176440,92,FALSE,./images/until_i_found_you_with_em_beihold_em_beihold_version_stephen_sanchez.jpg,4/1/23
VOID,4/1/23,10:17:21,FALSE,['Melanie Martinez'],PORTALS,3/31/23,day,13,33,247875,41,FALSE,./images/void_melanie_martinez.jpg,4/1/23
"Quevedo: Bzrp Music Sessions, Vol. 52",4/1/23,10:17:21,TRUE,"['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",7/6/22,day,1,34,198937,93,FALSE,./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg,4/1/23
Another Love,4/1/23,10:17:21,FALSE,['Tom Odell'],Long Way Down,6/17/13,day,10,35,244360,62,TRUE,./images/another_love_tom_odell.jpg,4/1/23
Starboy,4/1/23,10:17:21,TRUE,"['The Weeknd', 'Daft Punk']",Starboy,11/25/16,day,18,36,230453,92,TRUE,./images/starboy_the_weeknd.jpg,4/1/23
Escapism.,4/1/23,10:17:21,TRUE,"['RAYE', '070 Shake']",My 21st Century Blues,2/3/23,day,15,37,272373,81,TRUE,./images/escapism_raye.jpg,4/1/23
I Ain't Worried,4/1/23,10:17:21,FALSE,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2/15/23,day,18,38,148120,51,FALSE,./images/i_aint_worried_onerepublic.jpg,4/1/23
golden hour,4/1/23,10:17:21,FALSE,['JVKE'],this is what ____ feels like (Vol. 1-4),9/23/22,day,12,39,209259,90,FALSE,./images/golden_hour_jvke.jpg,4/1/23
I Wanna Be Yours,4/1/23,10:17:21,FALSE,['Arctic Monkeys'],AM,9/9/13,day,12,40,183956,92,FALSE,./images/i_wanna_be_yours_arctic_monkeys.jpg,4/1/23
El Azul,4/1/23,10:17:21,TRUE,"['Junior H', 'Peso Pluma']",El Azul,2/10/23,day,1,41,187225,88,TRUE,./images/el_azul_junior_h.jpg,4/1/23
Mockingbird,4/1/23,10:17:21,FALSE,['Eminem'],Encore (Deluxe Version),11/12/04,day,23,42,250760,91,TRUE,./images/mockingbird_eminem.jpg,4/1/23
Players,4/1/23,10:17:21,FALSE,['Coi Leray'],Players,11/30/22,day,1,43,139560,92,TRUE,./images/players_coi_leray.jpg,4/1/23
Set Me Free Pt.2,4/1/23,10:17:21,FALSE,['Jimin'],Set Me Free Pt.2,3/17/23,day,1,44,200929,89,TRUE,./images/set_me_free_pt2_jimin.jpg,4/1/23
Feliz Cumpleaños Ferxxo,4/1/23,10:17:21,FALSE,['Feid'],FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,9/14/22,day,15,45,155960,89,FALSE,./images/feliz_cumpleaos_ferxxo_feid.jpg,4/1/23
Shorty Party,4/1/23,10:17:21,TRUE,"['Cartel De Santa', 'La Kelly']",Shorty Party,3/4/23,day,1,46,265000,90,TRUE,./images/shorty_party_cartel_de_santa.jpg,4/1/23
Eyes Closed,4/1/23,10:17:21,FALSE,['Ed Sheeran'],Eyes Closed (Piano Version),3/23/23,day,2,47,194848,61,FALSE,./images/eyes_closed_ed_sheeran.jpg,4/1/23
La Jumpa,4/1/23,10:17:21,TRUE,"['Arcángel', 'Bad Bunny']",Sr. Santos,12/1/22,day,18,48,255693,87,TRUE,./images/la_jumpa_arcngel.jpg,4/1/23
